
Predictions were generated on 03-May-2022 at 09:15:04 using OpenFAST, compiled as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: FAST Certification Test #19: NREL 5.0 MW Baseline Wind Turbine with OC3 Monopile RF Configuration, for use in offshore analysis

Time      	TwHt1TPxi 	TwHt1TPyi 	TTDspTwst 	PtfmSurge 	PtfmSway  	PtfmRoll  	PtfmPitch 	M2N1TDXss 	M2N1TDYss 	M1N1TDXss 	M1N1TDYss 
(s)       	(m)       	(m)       	(deg)     	(m)       	(m)       	(deg)     	(deg)     	(m)       	(m)       	(m)       	(m)       
    0.0000	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.0500	-4.622E-04	-1.444E-20	 0.000E+00	 1.092E-02	-5.394E-20	-6.231E-19	-2.091E-02	 9.475E-03	-1.838E-19	 0.000E+00	 0.000E+00
    0.1000	-5.155E-03	-1.302E-19	 0.000E+00	 4.947E-02	 7.905E-20	 5.178E-19	 3.303E-02	 3.344E-02	 8.245E-20	 0.000E+00	 0.000E+00
    0.1500	-5.789E-03	-2.525E-19	 0.000E+00	 1.009E-01	-2.674E-20	 1.211E-18	 1.258E-01	 6.375E-02	 5.136E-20	 0.000E+00	 0.000E+00
    0.2000	 7.584E-03	-9.580E-20	 0.000E+00	 1.393E-01	-7.326E-19	 1.006E-18	 1.901E-01	 8.679E-02	-5.527E-19	 0.000E+00	 0.000E+00
    0.2500	 3.230E-02	 1.316E-19	 0.000E+00	 1.724E-01	-7.242E-19	 1.930E-18	 2.401E-01	 1.071E-01	-4.507E-19	 0.000E+00	 0.000E+00
    0.3000	 5.910E-02	 7.497E-20	 0.000E+00	 2.231E-01	 1.711E-19	-3.572E-19	 3.335E-01	 1.371E-01	 3.743E-20	 0.000E+00	 0.000E+00
    0.3500	 8.733E-02	 4.583E-20	 0.000E+00	 2.856E-01	 6.063E-19	-1.996E-18	 4.587E-01	 1.733E-01	 2.310E-19	 0.000E+00	 0.000E+00
    0.4000	 1.243E-01	 1.600E-19	 0.000E+00	 3.315E-01	 3.751E-19	-9.473E-19	 5.441E-01	 2.001E-01	 1.585E-19	 0.000E+00	 0.000E+00
    0.4500	 1.721E-01	 3.408E-19	 0.000E+00	 3.544E-01	-2.761E-19	 1.050E-18	 5.685E-01	 2.147E-01	-1.531E-19	 0.000E+00	 0.000E+00
    0.5000	 2.251E-01	 4.583E-19	 0.000E+00	 3.776E-01	-6.068E-19	 2.368E-18	 5.862E-01	 2.303E-01	-2.961E-19	 0.000E+00	 0.000E+00
    0.5500	 2.825E-01	 4.724E-19	 0.000E+00	 4.147E-01	-3.532E-19	 6.859E-19	 6.363E-01	 2.536E-01	-2.697E-19	 0.000E+00	 0.000E+00
    0.6000	 3.522E-01	 6.275E-19	 0.000E+00	 4.518E-01	 1.846E-20	-4.563E-19	 6.927E-01	 2.764E-01	-9.060E-20	 0.000E+00	 0.000E+00
    0.6500	 4.413E-01	 9.110E-19	 0.000E+00	 4.784E-01	 2.275E-19	-5.144E-19	 7.298E-01	 2.927E-01	 7.944E-20	 0.000E+00	 0.000E+00
    0.7000	 5.477E-01	 1.318E-18	 0.000E+00	 5.091E-01	 2.421E-20	 5.000E-19	 7.797E-01	 3.112E-01	 4.194E-20	 0.000E+00	 0.000E+00
    0.7500	 6.664E-01	 1.799E-18	 0.000E+00	 5.604E-01	-1.541E-19	 5.103E-19	 8.816E-01	 3.409E-01	-1.125E-19	 0.000E+00	 0.000E+00
    0.8000	 7.986E-01	 2.153E-18	 0.000E+00	 6.225E-01	 3.177E-19	-1.958E-18	 1.015E+00	 3.763E-01	 9.772E-21	 0.000E+00	 0.000E+00
    0.8500	 9.479E-01	 2.245E-18	 0.000E+00	 6.744E-01	 8.714E-19	-2.867E-18	 1.129E+00	 4.055E-01	 3.734E-19	 0.000E+00	 0.000E+00
    0.9000	 1.112E+00	 2.057E-18	 0.000E+00	 7.143E-01	 8.154E-19	-1.739E-18	 1.214E+00	 4.280E-01	 4.426E-19	 0.000E+00	 0.000E+00
    0.9500	 1.283E+00	 2.065E-18	 0.000E+00	 7.560E-01	 2.609E-20	-1.554E-19	 1.297E+00	 4.521E-01	-6.053E-21	 0.000E+00	 0.000E+00
    1.0000	 1.462E+00	 2.257E-18	 0.000E+00	 8.012E-01	-1.741E-19	 4.189E-20	 1.385E+00	 4.785E-01	-1.857E-19	 0.000E+00	 0.000E+00
    1.0500	 1.651E+00	 2.269E-18	 0.000E+00	 8.369E-01	-5.728E-20	-7.838E-21	 1.451E+00	 4.996E-01	-9.461E-20	 0.000E+00	 0.000E+00
    1.1000	 1.855E+00	 2.051E-18	 0.000E+00	 8.601E-01	-5.100E-19	 2.081E-18	 1.488E+00	 5.135E-01	-2.319E-19	 0.000E+00	 0.000E+00
    1.1500	 2.071E+00	 2.011E-18	 0.000E+00	 8.865E-01	-8.925E-19	 2.981E-18	 1.534E+00	 5.291E-01	-4.506E-19	 0.000E+00	 0.000E+00
    1.2000	 2.297E+00	 2.534E-18	 0.000E+00	 9.281E-01	-5.010E-19	 9.676E-19	 1.621E+00	 5.529E-01	-3.453E-19	 0.000E+00	 0.000E+00
    1.2500	 2.537E+00	 3.181E-18	 0.000E+00	 9.777E-01	 1.294E-19	-7.697E-19	 1.732E+00	 5.808E-01	-3.735E-21	 0.000E+00	 0.000E+00
    1.3000	 2.791E+00	 3.249E-18	 0.000E+00	 1.024E+00	 3.629E-19	-8.596E-19	 1.843E+00	 6.063E-01	 1.763E-19	 0.000E+00	 0.000E+00
    1.3500	 3.056E+00	 3.082E-18	 0.000E+00	 1.070E+00	 5.191E-19	-1.677E-18	 1.955E+00	 6.309E-01	 2.236E-19	 0.000E+00	 0.000E+00
    1.4000	 3.326E+00	 3.535E-18	 0.000E+00	 1.121E+00	 1.031E-18	-3.412E-18	 2.081E+00	 6.590E-01	 4.454E-19	 0.000E+00	 0.000E+00
    1.4500	 3.597E+00	 4.095E-18	 0.000E+00	 1.173E+00	 1.318E-18	-3.979E-18	 2.208E+00	 6.877E-01	 6.451E-19	 0.000E+00	 0.000E+00
    1.5000	 3.871E+00	 3.642E-18	 0.000E+00	 1.214E+00	 8.227E-19	-2.227E-18	 2.303E+00	 7.099E-01	 4.200E-19	 0.000E+00	 0.000E+00
    1.5500	 4.147E+00	 2.762E-18	 0.000E+00	 1.240E+00	 7.888E-21	-6.798E-20	 2.364E+00	 7.247E-01	-2.171E-20	 0.000E+00	 0.000E+00
    1.6000	 4.422E+00	 2.720E-18	 0.000E+00	 1.265E+00	-1.854E-19	 3.686E-19	 2.417E+00	 7.386E-01	-1.460E-19	 0.000E+00	 0.000E+00
    1.6500	 4.694E+00	 3.134E-18	 0.000E+00	 1.295E+00	-1.063E-19	 2.459E-19	 2.481E+00	 7.553E-01	-8.418E-20	 0.000E+00	 0.000E+00
    1.7000	 4.966E+00	 2.749E-18	 0.000E+00	 1.325E+00	-3.661E-19	 1.279E-18	 2.550E+00	 7.722E-01	-1.851E-19	 0.000E+00	 0.000E+00
    1.7500	 5.240E+00	 1.975E-18	 0.000E+00	 1.353E+00	-7.372E-19	 1.956E-18	 2.619E+00	 7.875E-01	-4.262E-19	 0.000E+00	 0.000E+00
    1.8000	 5.514E+00	 2.184E-18	 0.000E+00	 1.385E+00	-4.626E-19	 8.780E-19	 2.704E+00	 8.047E-01	-3.066E-19	 0.000E+00	 0.000E+00
    1.8500	 5.782E+00	 2.960E-18	 0.000E+00	 1.427E+00	 2.833E-19	-8.271E-19	 2.814E+00	 8.271E-01	 1.315E-19	 0.000E+00	 0.000E+00
    1.9000	 6.043E+00	 2.654E-18	 0.000E+00	 1.472E+00	 8.122E-19	-2.282E-18	 2.934E+00	 8.509E-01	 4.212E-19	 0.000E+00	 0.000E+00
    1.9500	 6.296E+00	 1.625E-18	 0.000E+00	 1.510E+00	 8.578E-19	-2.589E-18	 3.034E+00	 8.705E-01	 4.105E-19	 0.000E+00	 0.000E+00
    2.0000	 6.537E+00	 1.612E-18	 0.000E+00	 1.537E+00	 6.721E-19	-2.247E-18	 3.109E+00	 8.847E-01	 2.987E-19	 0.000E+00	 0.000E+00
    2.0500	 6.762E+00	 2.236E-18	 0.000E+00	 1.559E+00	 4.190E-19	-1.596E-18	 3.167E+00	 8.967E-01	 1.640E-19	 0.000E+00	 0.000E+00
    2.1000	 6.970E+00	 1.586E-18	 0.000E+00	 1.578E+00	 3.806E-19	-1.559E-18	 3.213E+00	 9.071E-01	 1.477E-19	 0.000E+00	 0.000E+00
    2.1500	 7.163E+00	 5.091E-20	 0.000E+00	 1.590E+00	 3.759E-19	-9.371E-19	 3.241E+00	 9.136E-01	 1.900E-19	 0.000E+00	 0.000E+00
    2.2000	 7.340E+00	-3.782E-19	 0.000E+00	 1.595E+00	-2.452E-20	 3.337E-19	 3.253E+00	 9.165E-01	 7.380E-21	 0.000E+00	 0.000E+00
    2.2500	 7.503E+00	 9.381E-20	 0.000E+00	 1.603E+00	-6.524E-19	 1.676E-18	 3.272E+00	 9.205E-01	-3.642E-19	 0.000E+00	 0.000E+00
    2.3000	 7.650E+00	-4.532E-19	 0.000E+00	 1.618E+00	-9.144E-19	 2.513E-18	 3.313E+00	 9.284E-01	-4.873E-19	 0.000E+00	 0.000E+00
    2.3500	 7.780E+00	-1.839E-18	 0.000E+00	 1.637E+00	-6.904E-19	 2.201E-18	 3.368E+00	 9.386E-01	-3.569E-19	 0.000E+00	 0.000E+00
    2.4000	 7.894E+00	-2.095E-18	 0.000E+00	 1.655E+00	-3.957E-19	 1.206E-18	 3.422E+00	 9.476E-01	-2.102E-19	 0.000E+00	 0.000E+00
    2.4500	 7.989E+00	-1.323E-18	 0.000E+00	 1.670E+00	-1.452E-19	 4.857E-19	 3.469E+00	 9.549E-01	-6.886E-20	 0.000E+00	 0.000E+00
    2.5000	 8.061E+00	-1.486E-18	 0.000E+00	 1.683E+00	 4.683E-20	-1.809E-19	 3.510E+00	 9.614E-01	 2.085E-20	 0.000E+00	 0.000E+00
    2.5500	 8.108E+00	-2.499E-18	 0.000E+00	 1.691E+00	 2.529E-19	-7.270E-19	 3.534E+00	 9.654E-01	 1.281E-19	 0.000E+00	 0.000E+00
    2.6000	 8.131E+00	-2.531E-18	 0.000E+00	 1.689E+00	 5.662E-19	-1.524E-18	 3.529E+00	 9.643E-01	 2.980E-19	 0.000E+00	 0.000E+00
    2.6500	 8.130E+00	-1.764E-18	 0.000E+00	 1.679E+00	 7.317E-19	-2.235E-18	 3.498E+00	 9.589E-01	 3.712E-19	 0.000E+00	 0.000E+00
    2.7000	 8.105E+00	-2.119E-18	 0.000E+00	 1.666E+00	 6.037E-19	-1.915E-18	 3.458E+00	 9.523E-01	 2.978E-19	 0.000E+00	 0.000E+00
    2.7500	 8.058E+00	-3.421E-18	 0.000E+00	 1.655E+00	 1.183E-19	-2.654E-19	 3.423E+00	 9.473E-01	 6.350E-20	 0.000E+00	 0.000E+00
    2.8000	 7.992E+00	-3.755E-18	 0.000E+00	 1.647E+00	-5.372E-19	 1.756E-18	 3.397E+00	 9.436E-01	-2.597E-19	 0.000E+00	 0.000E+00
    2.8500	 7.909E+00	-3.268E-18	 0.000E+00	 1.642E+00	-9.306E-19	 2.502E-18	 3.379E+00	 9.410E-01	-5.052E-19	 0.000E+00	 0.000E+00
    2.9000	 7.809E+00	-3.803E-18	 0.000E+00	 1.641E+00	-8.325E-19	 2.448E-18	 3.374E+00	 9.407E-01	-4.231E-19	 0.000E+00	 0.000E+00
